odcinek_id,droga,lat,lon,ten_t,sdrr_ogolem,sam_osobowe,lekkie_ciezarowe,typ_drogi
70627,A1,54.19112,18.632183499999996,bazowa,34933,25506,2331,dk
70628,A1,54.099151500000005,18.692107999999998,bazowa,31802,22501,2279,dk
70629,A1,53.936232,18.641511,bazowa,29316,20133,2145,dk
70630,A1,53.888174,18.630827500000002,bazowa,28179,19354,1855,dk
70641,A1,53.637191,18.6403375,bazowa,28273,19115,2040,dk
71117,A1,53.599344,18.618093,bazowa,27163,18324,1907,dk
71402,A1,53.465397,18.620026,bazowa,22472,15431,1675,dk
71403,A1,53.343272,18.708985,bazowa,22660,15269,1775,dk
71404,A1,53.142764,18.7425135,bazowa,23092,15559,1803,dk
71405,A1,53.038454,18.733095,bazowa,26158,17507,1849,dk
71206,A1,53.033187,18.731393,bazowa,26024,16243,2194,dk
71406,A1,52.898439499999995,18.7240005,bazowa,31955,21256,2670,dk
71407,A1,52.7612985,18.854665500000003,bazowa,32644,21553,2902,dk
71408,A1,52.655609999999996,18.929820499999998,bazowa,33525,21342,3372,dk
71409,A1,52.5674375,19.0132015,bazowa,30987,20154,2640,dk
71410,A1,52.339945,19.356123500000002,bazowa,32015,21158,2703,dk
91820,A1,52.285313,19.401006,bazowa,35101,23310,3074,dk
91821,A1,52.218833,19.472815,bazowa,36976,26431,2984,dk
91822,A1,52.0071535,19.5434695,bazowa,34696,23934,3211,dk
91893,A1,51.8419835,19.659115,bazowa,56423,35939,6041,dk
91894,A1,51.791969,19.617374,bazowa,65070,44038,6061,dk
91895,A1,51.699073,19.601984,bazowa,56014,36472,5530,dk
91896,A1,51.647679,19.575692,bazowa,57939,39207,5158,dk
91897,A1,51.631194,19.568692,bazowa,46913,31919,4313,dk
91413,A1,51.443871,19.642434,bazowa,46773,31567,4676,dk
91414,A1,51.426877,19.640015,bazowa,57544,37631,5244,dk
91501,A1,51.210183,19.485128,bazowa,47275,30577,4390,dk
91502,A1,51.1127075,19.3950045,bazowa,45727,29479,4327,dk
91503,A1,51.08269,19.373055,bazowa,46790,30911,4336,dk
40202,A1,50.893474,19.185012,bazowa,51075,33995,5057,dk
40211,A1,50.850673,19.045129000000003,bazowa,41575,26617,4151,dk
40212,A1,50.786062,19.00225,bazowa,44935,28809,4620,dk
40213,A1,50.747345,19.039063,bazowa,44284,29327,4291,dk
40214,A1,50.683851000000004,19.054977,bazowa,49107,33057,4958,dk
40215,A1,50.569652,19.0540255,bazowa,48948,32914,4904,dk
40741,"A1d
A1c",50.402144,19.009533,bazowa,36623,26080,3492,dk
40737,A1c,50.370745,18.908029,bazowa,40872,29903,3681,dk
40738,A1c,50.372601,18.8889075,bazowa,33774,23571,3249,dk
40739,A1c,50.3729065,18.756718499999998,bazowa,41947,30186,3740,dk
40740,A1c,50.315881,18.725181,bazowa,46407,33639,4415,dk
40736,"A1c
A1b",50.3063995,18.728337500000002,bazowa,50975,37787,4790,dk
40217,"A1b
A1a",50.273113,18.7293605,bazowa,74202,57632,6394,dk
40331,A1a,50.229183500000005,18.6978345,bazowa,65447,48521,6142,dk
40332,A1a,50.196494,18.702161,bazowa,56410,40451,5589,dk
40333,A1a,50.136392,18.69291,bazowa,56439,40352,5670,dk
